id_mostra,ruta_imatges,lot,M_aire(g),M_aigua(g),ge,MS1,MS2,MS3,h2,Volum,densitat,canal_NIR_raw,ref_NIR,divisió,y_1_norm,y_2_norm,y1_y2_norm
36,p3_1.png,L3,149.55,9.7,1.069360029,17.97198844,17.96496604,18.39793171,18.15,126.6408615,1.180898474,57198,14713,3.88758241,0.6269,0.5824,1.076407967
37,p3_2.png,L3,145.00,9.9,1.073279053,18.79905925,18.79188009,19.25300474,18,110.1224882,1.316715617,61995,21210,2.92291372,0.6317,0.5664,1.115289548
38,p3_3.png,L3,73.50,6,1.088888889,22.09335911,22.08555556,22.65884,17.4,44.04899529,1.668596514,63410,24238,2.616139946,0.6208,0.5782,1.073676928
39,p3_4.png,L3,225.00,19.2,1.093294461,23.02311097,23.0151312,23.62007055,18.7,187.20823,1.201870238,17912,4327.3,4.139301643,0.6328,0.6152,1.028608583
40,p3_5.png,L3,61.60,5.8,1.103942652,25.27030535,25.26189964,25.94334839,17.2,22.02449764,2.796885586,56508,17079,3.308624627,0.6184,0.5888,1.050271739
41,p3_6.png,L3,102.42,7.6,1.080151867,20.24949795,20.24204387,20.75255107,17.5,55.06124411,1.860110531,54919,16746,3.27952944,0.6286,0.6055,1.038150289
42,p3_7.png,L3,143.80,9.2,1.068350669,17.75897311,17.75199108,18.17770431,17.9,99.1102394,1.450909622,57727,18572,3.108281284,0.5901,0.5788,1.019523151
43,p3_8.png,L3,105.17,9,1.093584278,23.084274,23.07628262,23.68330438,17.4,44.04899529,2.387568645,61478,19164,3.207994156,0.6287,0.583,1.07838765
44,p3_9.png,L3,165.12,12.6,1.082612116,20.76870905,20.76115657,21.28934115,17.9,99.1102394,1.666023622,50643,10593,4.780798641,0.6474,0.6288,1.029580153
45,p3_10.png,L3,97.31,8.8,1.099423794,24.31664547,24.30842052,24.95740036,17.5,55.06124411,1.767304782,55893,13896,4.022236615,0.5959,0.5785,1.030077787
46,p3_11.png,L3,108.69,9.1,1.091374636,22.61795118,22.6100482,23.20119323,17.6,66.07349293,1.644986441,57686,13675,4.218354662,0.6411,0.5742,1.116509927
47,p3_12.png,L3,204.12,14.9,1.078744319,19.95244904,19.94505126,20.44544494,18.5,165.1837323,1.235714904,62149,15377,4.041685634,0.6734,0.6168,1.091763943
48,p3_13.png,L3,74.57,5.2,1.074960358,19.15388185,19.14663543,19.61984059,17.5,55.06124411,1.354310118,57821,20512,2.818886505,0.6401,0.5781,1.107247881
49,p3_14.png,L3,93.75,7.6,1.088218224,21.951822,21.94404527,22.51251085,17.4,44.04899529,2.128311881,50115,23576,2.125678656,0.616,0.5811,1.06005851
50,p3_15.png,L3,282.00,22.9,1.088382864,21.98656757,21.97878425,22.54843281,19.1,231.2572253,1.219421359,51945,9550.9,"5,438,754,463",0.6451,0.6046,1.066986437
51,p3_16.png,L3,149.55,9.7,1.069360029,17.97198844,17.96496604,18.39793171,18.15,126.6408615,1.180898474,57198,14713,3.88758241,0.5694,0.5565,1.023180593
52,p3_17.png,L3,146.68,9.9,1.072379003,18.60911275,18.60196959,19.0566272,18,110.1224882,1.331971356,61995,21210,2.92291372,0.6317,0.6143,1.028324923
53,p3_18.png,L3,75.12,6,1.086805556,21.65369244,21.64597222,22.2042875,17.4,44.04899529,1.705373744,63410,24238,2.616139946,0.6254,0.5622,1.11241551
54,p3_19.png,L3,225.00,19.2,1.093294461,23.02311097,23.0151312,23.62007055,18.7,187.20823,1.201870238,17912,4327.3,4.139301643,0.6032,0.5953,1.01327062
55,p3_20.png,L3,62.17,5.8,1.102891609,25.04849317,25.0401295,25.71402629,17.2,22.02449764,2.822765858,56508,17079,3.308624627,0.6197,0.5632,1.100319602
56,p3_21.png,L3,103.90,7.6,1.078920042,19.98953357,19.98212876,20.48378505,17.5,55.06124411,1.886989691,54919,16746,3.27952944,0.6299,0.6091,1.034148744
