image,lot,source,method,thr,pred_class,confidence,status
p3_1.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.8930636644363403,ok
p3_2.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.9099081754684448,ok
p3_3.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.9161301255226135,ok
p3_4.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.9097521305084229,ok
p3_5.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.8633700013160706,ok
p3_6.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.8633008599281311,ok
p3_7.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.6459318399429321,ok
p3_8.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.7784470319747925,ok
p3_9.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.9189944267272949,ok
p3_10.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.8613645434379578,ok
p3_11.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.7079988718032837,ok
p3_12.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.8241671919822693,ok
p3_13.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.8956274390220642,ok
p3_14.png,3,definitive,retinex+clahe,0.2,Damaged potato,0.49266165494918823,ok
p3_15.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.8640872240066528,ok
p3_16.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.9081557393074036,ok
p3_17.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.7484997510910034,ok
p3_18.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.9012994170188904,ok
p3_19.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.5794320106506348,ok
p3_20.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.9098066091537476,ok
p3_21.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.8421326279640198,ok
p3_22.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.8321812748908997,ok
p3_23.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.8531225919723511,ok
p3_24.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.9135803580284119,ok
p3_25.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.9092999696731567,ok
p3_26.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.9091180562973022,ok
p3_27.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.8206827640533447,ok
p3_28.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.9105128049850464,ok
p3_29.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.4955035448074341,ok
p3_30.png,3,definitive,retinex+clahe,0.2,Diseased-fungal potato,0.8508010506629944,ok
