image,lot,source,order,brightness,gamma,sigmoid_k,sigmoid_mid,thr,pred_class,confidence,status,error
p3_1.png,3,definitive,sigmoid_only,1.0,0.8,6.0,0.5,0.2,Potato,0.8705086708068848,ok,
p3_1.png,3,definitive,sigmoid_only,1.0,0.9,6.0,0.5,0.2,Potato,0.8705086708068848,ok,
p3_1.png,3,definitive,sigmoid_only,1.0,1.0,6.0,0.5,0.2,Potato,0.8705086708068848,ok,
p3_1.png,3,definitive,sigmoid_only,1.0,1.1,6.0,0.5,0.2,Potato,0.8705086708068848,ok,
p3_1.png,3,definitive,sigmoid_only,1.2,0.8,6.0,0.5,0.2,Potato,0.8705086708068848,ok,
p3_1.png,3,definitive,sigmoid_only,1.2,0.9,6.0,0.5,0.2,Potato,0.8705086708068848,ok,
p3_1.png,3,definitive,sigmoid_only,1.2,1.0,6.0,0.5,0.2,Potato,0.8705086708068848,ok,
p3_1.png,3,definitive,sigmoid_only,1.2,1.1,6.0,0.5,0.2,Potato,0.8705086708068848,ok,
p3_1.png,3,definitive,sigmoid_only,1.4,0.8,6.0,0.5,0.2,Potato,0.8705086708068848,ok,
p3_1.png,3,definitive,sigmoid_only,1.4,0.9,6.0,0.5,0.2,Potato,0.8705086708068848,ok,
p3_1.png,3,definitive,sigmoid_only,1.4,1.0,6.0,0.5,0.2,Potato,0.8705006241798401,ok,
p3_1.png,3,definitive,sigmoid_only,1.4,1.1,6.0,0.5,0.2,Potato,0.8705006241798401,ok,
p3_1.png,3,definitive,sigmoid_only,1.6,0.8,6.0,0.5,0.2,Potato,0.8705006241798401,ok,
p3_1.png,3,definitive,sigmoid_only,1.6,0.9,6.0,0.5,0.2,Potato,0.8705086708068848,ok,
p3_1.png,3,definitive,sigmoid_only,1.6,1.0,6.0,0.5,0.2,Potato,0.8705086708068848,ok,
p3_1.png,3,definitive,sigmoid_only,1.6,1.1,6.0,0.5,0.2,Potato,0.8705086708068848,ok,
p3_1.png,3,definitive,sigmoid_only,1.8,0.8,6.0,0.5,0.2,Potato,0.8705086708068848,ok,
p3_1.png,3,definitive,sigmoid_only,1.8,0.9,6.0,0.5,0.2,Potato,0.8705086708068848,ok,
p3_1.png,3,definitive,sigmoid_only,1.8,1.0,6.0,0.5,0.2,Potato,0.8705086708068848,ok,
p3_1.png,3,definitive,sigmoid_only,1.8,1.1,6.0,0.5,0.2,Potato,0.8705006241798401,ok,
p3_1.png,3,definitive,bg_only,1.0,0.8,6.0,0.5,0.2,Diseased-fungal potato,0.8275787234306335,ok,
p3_1.png,3,definitive,bg_only,1.0,0.9,6.0,0.5,0.2,Diseased-fungal potato,0.7690288424491882,ok,
p3_1.png,3,definitive,bg_only,1.0,1.0,6.0,0.5,0.2,Diseased-fungal potato,0.5846347808837891,ok,
p3_1.png,3,definitive,bg_only,1.0,1.1,6.0,0.5,0.2,Damaged potato,0.6642695069313049,ok,
p3_1.png,3,definitive,bg_only,1.2,0.8,6.0,0.5,0.2,Diseased-fungal potato,0.8104634284973145,ok,
p3_1.png,3,definitive,bg_only,1.2,0.9,6.0,0.5,0.2,Diseased-fungal potato,0.7823607921600342,ok,
p3_1.png,3,definitive,bg_only,1.2,1.0,6.0,0.5,0.2,Diseased-fungal potato,0.755042314529419,ok,
p3_1.png,3,definitive,bg_only,1.2,1.1,6.0,0.5,0.2,Diseased-fungal potato,0.6112415790557861,ok,
p3_1.png,3,definitive,bg_only,1.4,0.8,6.0,0.5,0.2,Diseased-fungal potato,0.8019089102745056,ok,
p3_1.png,3,definitive,bg_only,1.4,0.9,6.0,0.5,0.2,Diseased-fungal potato,0.8291188478469849,ok,
p3_1.png,3,definitive,bg_only,1.4,1.0,6.0,0.5,0.2,Diseased-fungal potato,0.8213332295417786,ok,
p3_1.png,3,definitive,bg_only,1.4,1.1,6.0,0.5,0.2,Diseased-fungal potato,0.7898744344711304,ok,
p3_1.png,3,definitive,bg_only,1.6,0.8,6.0,0.5,0.2,Diseased-fungal potato,0.8048734664916992,ok,
p3_1.png,3,definitive,bg_only,1.6,0.9,6.0,0.5,0.2,Diseased-fungal potato,0.8322622776031494,ok,
p3_1.png,3,definitive,bg_only,1.6,1.0,6.0,0.5,0.2,Diseased-fungal potato,0.8605045676231384,ok,
p3_1.png,3,definitive,bg_only,1.6,1.1,6.0,0.5,0.2,Diseased-fungal potato,0.8698794841766357,ok,
p3_1.png,3,definitive,bg_only,1.8,0.8,6.0,0.5,0.2,Diseased-fungal potato,0.6671724319458008,ok,
p3_1.png,3,definitive,bg_only,1.8,0.9,6.0,0.5,0.2,Diseased-fungal potato,0.6741311550140381,ok,
p3_1.png,3,definitive,bg_only,1.8,1.0,6.0,0.5,0.2,Diseased-fungal potato,0.7904964089393616,ok,
p3_1.png,3,definitive,bg_only,1.8,1.1,6.0,0.5,0.2,Diseased-fungal potato,0.7710840702056885,ok,
p3_1.png,3,definitive,sigmoid_then_bg,1.0,0.8,6.0,0.5,0.2,Damaged potato,0.6834603548049927,ok,
p3_1.png,3,definitive,sigmoid_then_bg,1.0,0.9,6.0,0.5,0.2,Potato,0.6230024099349976,ok,
p3_1.png,3,definitive,sigmoid_then_bg,1.0,1.0,6.0,0.5,0.2,Potato,0.8705006241798401,ok,
p3_1.png,3,definitive,sigmoid_then_bg,1.0,1.1,6.0,0.5,0.2,Potato,0.8228141069412231,ok,
p3_1.png,3,definitive,sigmoid_then_bg,1.2,0.8,6.0,0.5,0.2,Damaged potato,0.631319522857666,ok,
p3_1.png,3,definitive,sigmoid_then_bg,1.2,0.9,6.0,0.5,0.2,Damaged potato,0.4914807081222534,ok,
p3_1.png,3,definitive,sigmoid_then_bg,1.2,1.0,6.0,0.5,0.2,Potato,0.8036448359489441,ok,
p3_1.png,3,definitive,sigmoid_then_bg,1.2,1.1,6.0,0.5,0.2,Potato,0.828158438205719,ok,
p3_1.png,3,definitive,sigmoid_then_bg,1.4,0.8,6.0,0.5,0.2,Diseased-fungal potato,0.5964821577072144,ok,
p3_1.png,3,definitive,sigmoid_then_bg,1.4,0.9,6.0,0.5,0.2,Damaged potato,0.5024625658988953,ok,
p3_1.png,3,definitive,sigmoid_then_bg,1.4,1.0,6.0,0.5,0.2,Potato,0.6175211668014526,ok,
p3_1.png,3,definitive,sigmoid_then_bg,1.4,1.1,6.0,0.5,0.2,Potato,0.7994361519813538,ok,
p3_1.png,3,definitive,sigmoid_then_bg,1.6,0.8,6.0,0.5,0.2,Diseased-fungal potato,0.6965891718864441,ok,
p3_1.png,3,definitive,sigmoid_then_bg,1.6,0.9,6.0,0.5,0.2,Diseased-fungal potato,0.440121054649353,ok,
p3_1.png,3,definitive,sigmoid_then_bg,1.6,1.0,6.0,0.5,0.2,Unable to classify,0.0,no_pred_above_thr,
p3_1.png,3,definitive,sigmoid_then_bg,1.6,1.1,6.0,0.5,0.2,Potato,0.7368937134742737,ok,
p3_1.png,3,definitive,sigmoid_then_bg,1.8,0.8,6.0,0.5,0.2,Diseased-fungal potato,0.7904835343360901,ok,
p3_1.png,3,definitive,sigmoid_then_bg,1.8,0.9,6.0,0.5,0.2,Diseased-fungal potato,0.500525951385498,ok,
p3_1.png,3,definitive,sigmoid_then_bg,1.8,1.0,6.0,0.5,0.2,Unable to classify,0.0,no_pred_above_thr,
p3_1.png,3,definitive,sigmoid_then_bg,1.8,1.1,6.0,0.5,0.2,Potato,0.6819441914558411,ok,
p3_1.png,3,definitive,bg_then_sigmoid,1.0,0.8,6.0,0.5,0.2,Damaged potato,0.6413546204566956,ok,
p3_1.png,3,definitive,bg_then_sigmoid,1.0,0.9,6.0,0.5,0.2,Potato,0.708247721195221,ok,
p3_1.png,3,definitive,bg_then_sigmoid,1.0,1.0,6.0,0.5,0.2,Potato,0.8705086708068848,ok,
p3_1.png,3,definitive,bg_then_sigmoid,1.0,1.1,6.0,0.5,0.2,Potato,0.8418759703636169,ok,
p3_1.png,3,definitive,bg_then_sigmoid,1.2,0.8,6.0,0.5,0.2,Damaged potato,0.6172983646392822,ok,
p3_1.png,3,definitive,bg_then_sigmoid,1.2,0.9,6.0,0.5,0.2,Damaged potato,0.5290553569793701,ok,
p3_1.png,3,definitive,bg_then_sigmoid,1.2,1.0,6.0,0.5,0.2,Potato,0.7478654384613037,ok,
p3_1.png,3,definitive,bg_then_sigmoid,1.2,1.1,6.0,0.5,0.2,Potato,0.827161431312561,ok,
p3_1.png,3,definitive,bg_then_sigmoid,1.4,0.8,6.0,0.5,0.2,Diseased-fungal potato,0.7639666199684143,ok,
p3_1.png,3,definitive,bg_then_sigmoid,1.4,0.9,6.0,0.5,0.2,Damaged potato,0.629157543182373,ok,
p3_1.png,3,definitive,bg_then_sigmoid,1.4,1.0,6.0,0.5,0.2,Damaged potato,0.4200987219810486,ok,
p3_1.png,3,definitive,bg_then_sigmoid,1.4,1.1,6.0,0.5,0.2,Potato,0.7279530763626099,ok,
p3_1.png,3,definitive,bg_then_sigmoid,1.6,0.8,6.0,0.5,0.2,Diseased-fungal potato,0.8536641001701355,ok,
p3_1.png,3,definitive,bg_then_sigmoid,1.6,0.9,6.0,0.5,0.2,Diseased-fungal potato,0.7623479962348938,ok,
p3_1.png,3,definitive,bg_then_sigmoid,1.6,1.0,6.0,0.5,0.2,Unable to classify,0.0,no_pred_above_thr,
p3_1.png,3,definitive,bg_then_sigmoid,1.6,1.1,6.0,0.5,0.2,Potato,0.6190207004547119,ok,
p3_1.png,3,definitive,bg_then_sigmoid,1.8,0.8,6.0,0.5,0.2,Diseased-fungal potato,0.7576863765716553,ok,
p3_1.png,3,definitive,bg_then_sigmoid,1.8,0.9,6.0,0.5,0.2,Diseased-fungal potato,0.7210491299629211,ok,
p3_1.png,3,definitive,bg_then_sigmoid,1.8,1.0,6.0,0.5,0.2,Damaged potato,0.5786536335945129,ok,
p3_1.png,3,definitive,bg_then_sigmoid,1.8,1.1,6.0,0.5,0.2,Damaged potato,0.6650051474571228,ok,
p3_2.png,3,definitive,sigmoid_only,1.0,0.8,6.0,0.5,0.2,Potato,0.8475328683853149,ok,
