image,lot,source,order,brightness,gamma,sigmoid_k,sigmoid_mid,thr,pred_class,confidence,status,error
p4_1.png,4,definitive,sigmoid_only,1.0,1.0,6.0,0.5,0.2,Diseased-fungal potato,0.8020433187484741,ok,
p4_2.png,4,definitive,sigmoid_only,1.0,1.0,6.0,0.5,0.2,Diseased-fungal potato,0.8473702669143677,ok,
p4_3.png,4,definitive,sigmoid_only,1.0,1.0,6.0,0.5,0.2,Diseased-fungal potato,0.8472907543182373,ok,
p4_4.png,4,definitive,sigmoid_only,1.0,1.0,6.0,0.5,0.2,Diseased-fungal potato,0.7527958750724792,ok,
p4_5.png,4,definitive,sigmoid_only,1.0,1.0,6.0,0.5,0.2,Diseased-fungal potato,0.43045639991760254,ok,
p4_6.png,4,definitive,sigmoid_only,1.0,1.0,6.0,0.5,0.2,Diseased-fungal potato,0.9139954447746277,ok,
p4_7.png,4,definitive,sigmoid_only,1.0,1.0,6.0,0.5,0.2,Damaged potato,0.6691141724586487,ok,
p4_8.png,4,definitive,sigmoid_only,1.0,1.0,6.0,0.5,0.2,Diseased-fungal potato,0.8589721918106079,ok,
p4_9.png,4,definitive,sigmoid_only,1.0,1.0,6.0,0.5,0.2,Diseased-fungal potato,0.7585225105285645,ok,
p4_10.png,4,definitive,sigmoid_only,1.0,1.0,6.0,0.5,0.2,Diseased-fungal potato,0.8029454350471497,ok,
p4_11.png,4,definitive,sigmoid_only,1.0,1.0,6.0,0.5,0.2,Diseased-fungal potato,0.678008496761322,ok,
p4_12.png,4,definitive,sigmoid_only,1.0,1.0,6.0,0.5,0.2,Diseased-fungal potato,0.5590691566467285,ok,
p4_13.png,4,definitive,sigmoid_only,1.0,1.0,6.0,0.5,0.2,Diseased-fungal potato,0.49230313301086426,ok,
p4_14.png,4,definitive,sigmoid_only,1.0,1.0,6.0,0.5,0.2,Diseased-fungal potato,0.7687606811523438,ok,
p4_15.png,4,definitive,sigmoid_only,1.0,1.0,6.0,0.5,0.2,Diseased-fungal potato,0.5731645226478577,ok,
p4_16.png,4,definitive,sigmoid_only,1.0,1.0,6.0,0.5,0.2,Diseased-fungal potato,0.5601054430007935,ok,
p4_17.png,4,definitive,sigmoid_only,1.0,1.0,6.0,0.5,0.2,Diseased-fungal potato,0.6128615736961365,ok,
